ano;mes;Sacrificios Porcinos Machos;Sacrificio Porcinos Hembras;Sacrificio totales;Latitud;Longitud
2017;Enero;132;284;416;52.606;-724.013
2017;Febrero;258;259;517;52.606;-724.013
2017;Marzo;323;290;613;52.606;-724.013
2017;Abril;260;311;571;52.606;-724.013
2017;Mayo;235;342;577;52.606;-724.013
2017;Junio;278;314;592;52.606;-724.013
2017;Julio;224;355;579;52.606;-724.013
2017;Agosto;297;341;638;52.606;-724.013
2017;Septiembre;241;280;521;52.606;-724.013
2017;Octubre;76;126;202;52.606;-724.013
2017;Noviembre;43;52;95;52.606;-724.013
2017;Diciembre;32;57;89;52.606;-724.013
2018;Enero;32;47;79;52.606;-724.013
2018;Febrero;53;97;150;52.606;-724.013
2018;Marzo;108;161;269;52.606;-724.013
2018;Abril;92;121;213;52.606;-724.013
2018;Mayo;112;196;308;52.606;-724.013
2018;Junio;126;211;337;52.606;-724.013
2018;Julio;131;272;403;52.606;-724.013
2018;Agosto;153;286;439;52.606;-724.013
2018;Septiembre;131;234;365;52.606;-724.013
2018;Octubre;123;222;345;52.606;-724.013
2018;Noviembre;263;142;405;52.606;-724.013
2018;Diciembre;191;336;527;52.606;-724.013
2019;Enero;40;38;78;52.606;-724.013
2019;Febrero;90;53;143;52.606;-724.013
2019;Marzo;80;101;181;52.606;-724.013
2019;Abril;50;214;264;52.606;-724.013
2019;Mayo;89;90;179;52.606;-724.013
2019;Junio;99;100;199;52.606;-724.013
2019;Julio;40;116;156;52.606;-724.013
2019;Agosto;40;56;96;52.606;-724.013
2019;Septiembre;70;42;112;52.606;-724.013
2019;Octubre;40;46;86;52.606;-724.013
2019;Noviembre;39;46;85;52.606;-724.013
2019;Diciembre;10;79;89;52.606;-724.013
2020;Febrero;27;23;50;52.606;-724.013
2020;Marzo;0;11;11;52.606;-724.013
2020;Abril;8;10;18;52.606;-724.013
2020;Mayo;4;6;10;52.606;-724.013
2020;Junio;9;14;23;52.606;-724.013
2020;Julio;2;0;2;52.606;-724.013
2020;Agosto;2;6;8;52.606;-724.013
2020;Septiembre;11;13;24;52.606;-724.013
2020;Octubre;26;14;40;52.606;-724.013
2020;Noviembre;19;16;35;52.606;-724.013
2020;Diciembre;15;7;22;52.606;-724.013
2021;Enero;3;7;10;52.606;-724.013
2021;Febrero;0;1;1;52.606;-724.013
2021;Marzo;14;14;28;52.606;-724.013
2021;Abril;11;10;21;52.606;-724.013
2021;Mayo;5;12;17;52.606;-724.013
2021;Junio;1;1;2;52.606;-724.013
2021;Julio;73;75;148;52.606;-724.013
2021;Agosto;8;71;79;52.606;-724.013
2021;Septiembre;23;26;49;52.606;-724.013
2021;Octubre;9;12;21;52.606;-724.013
2021;Noviembre;6;8;14;52.606;-724.013
2021;Diciembre;1;2;3;52.606;-724.013
2022;Enero;1;2;3;52.606;-724.013
2022;Febrero;21;12;33;52.606;-724.013
2022;Marzo;49;40;89;52.606;-724.013
2022;Abril;31;47;78;52.606;-724.013
2022;Mayo;19;24;43;52.606;-724.013
2022;Junio;19;49;68;52.606;-724.013
2022;Julio;13;13;26;52.606;-724.013
2022;Agosto;19;12;31;52.606;-724.013
2022;Septiembre;15;10;25;52.606;-724.013
